2024-11-15T09:28:29.199950,9animetv.to,1.1.1.1,A,"['104.21.83.186', '172.67.180.216']",,
2024-11-15T09:28:29.199950,9to5mac.com,208.67.222.222,A,['192.0.66.2'],,
2024-11-15T09:28:29.199950,9to5mac.com,9.9.9.10,A,['192.0.66.2'],,
2024-11-15T09:28:29.199950,988lifeline.org,9.9.9.10,A,"['172.67.74.176', '104.26.3.133', '104.26.2.133']",,
2024-11-15T09:28:29.199950,9animetv.to,208.67.222.220,A,"['172.67.180.216', '104.21.83.186']",,
2024-11-15T09:28:29.199950,988lifeline.org,101.226.4.6,A,"['104.26.3.133', '104.26.2.133', '172.67.74.176']",,
2024-11-15T09:28:29.199950,988lifeline.org,123.125.81.6,A,"['104.26.2.133', '172.67.74.176', '104.26.3.133']",,
2024-11-15T09:28:29.199950,988lifeline.org,195.208.4.1,A,"['188.114.99.224', '188.114.98.224']",,
2024-11-15T09:28:29.200938,988lifeline.org,195.208.5.1,A,"['188.114.98.235', '188.114.99.235']",,
2024-11-15T09:28:29.200938,9to5mac.com,195.208.5.1,A,['192.0.66.2'],,
2024-11-15T09:28:29.200938,988lifeline.org,180.76.76.76,A,"['104.26.2.133', '104.26.3.133', '172.67.74.176']",,
2024-11-15T09:28:29.200938,988lifeline.org,218.30.118.6,A,"['172.67.74.176', '104.26.2.133', '104.26.3.133']",,
2024-11-15T09:28:29.200938,9to5mac.com,208.67.220.222,A,['192.0.66.2'],,
2024-11-15T09:28:29.200938,988lifeline.org,208.67.222.222,A,"['104.26.3.133', '172.67.74.176', '104.26.2.133']",,
2024-11-15T09:28:29.200938,9to5mac.com,94.140.14.14,A,['192.0.66.2'],,
2024-11-15T09:28:29.200938,999.md,8.8.8.8,A,['91.220.207.88'],,
2024-11-15T09:28:29.200938,988lifeline.org,62.76.76.62,A,"['188.114.98.224', '188.114.99.224']",,
2024-11-15T09:28:29.200938,988lifeline.org,62.76.62.76,A,"['188.114.98.235', '188.114.99.235']",,
2024-11-15T09:28:29.200938,988lifeline.org,114.114.114.114,A,"['104.26.2.133', '172.67.74.176', '104.26.3.133']",,
2024-11-15T09:28:29.200938,9animetv.to,208.67.220.220,A,"['172.67.180.216', '104.21.83.186']",,
2024-11-15T09:28:29.200938,999.md,8.8.4.4,A,['91.220.207.88'],,
2024-11-15T09:28:29.200938,988lifeline.org,117.50.11.11,A,"['104.26.2.133', '172.67.74.176', '104.26.3.133']",,
2024-11-15T09:28:29.200938,988lifeline.org,94.140.15.15,A,"['104.26.2.133', '172.67.74.176', '104.26.3.133']",,
2024-11-15T09:28:29.200938,9to5mac.com,114.114.114.114,A,['192.0.66.2'],,
2024-11-15T09:28:29.200938,9to5mac.com,114.114.115.115,A,['192.0.66.2'],,
2024-11-15T09:28:29.200938,988lifeline.org,211.136.17.107,A,"['104.26.2.133', '172.67.74.176', '104.26.3.133']",,
2024-11-15T09:28:29.200938,988lifeline.org,223.6.6.6,A,"['172.67.74.176', '104.26.3.133', '104.26.2.133']",,
2024-11-15T09:28:29.200938,9to5mac.com,94.140.15.15,A,['192.0.66.2'],,
2024-11-15T09:28:29.200938,988lifeline.org,208.67.220.222,A,"['172.67.74.176', '104.26.2.133', '104.26.3.133']",,
2024-11-15T09:28:29.200938,988lifeline.org,119.29.29.29,A,"['104.26.2.133', '172.67.74.176', '104.26.3.133']",,
2024-11-15T09:28:29.200938,988lifeline.org,94.140.14.14,A,"['172.67.74.176', '104.26.3.133', '104.26.2.133']",,
2024-11-15T09:28:29.200938,999.md,9.9.9.10,A,['91.220.207.88'],,
2024-11-15T09:28:29.200938,9to5mac.com,1.1.1.1,A,['192.0.66.2'],,
2024-11-15T09:28:29.200938,988lifeline.org,208.67.222.220,A,"['104.26.2.133', '104.26.3.133', '172.67.74.176']",,
2024-11-15T09:28:29.200938,999.md,208.67.220.220,A,['91.220.207.88'],,
2024-11-15T09:28:29.200938,9to5mac.com,62.76.62.76,A,['192.0.66.2'],,
2024-11-15T09:28:29.200938,9animetv.to,2.56.220.2,A,"['172.67.180.216', '104.21.83.186']",,
2024-11-15T09:28:29.200938,9to5mac.com,195.208.4.1,A,['192.0.66.2'],,
