timestamp,domain,china_result_ipv4,china_result_ipv6,global_result_ipv4,global_result_ipv6,is_poisoned,is_poisoned_ipv4,is_poisoned_ipv6
2024-09-06T10:40:05.701305,10jqka.com.cn,"['122.224.106.15', '183.129.205.207']",[],['122.224.106.15'],[],False,False,False
2024-09-06T10:40:05.701305,0123movie.net,"['104.31.16.3', '104.31.16.126']",[],"['104.31.16.3', '104.31.16.126']",[],False,False,False
2024-09-06T10:40:05.701305,10086.cn,"['111.7.202.175', '111.7.203.227']","['2409:8080:381d:f2c7::1:224', '2409:8080:381c:f1c1::2:ce']","['111.7.202.175', '111.7.203.227']","['2409:8080:381d:f2c7::1:224', '2409:8080:381c:f1c1::2:ce']",False,False,False
2024-09-06T10:40:05.701305,037hdmovie.com,"['172.67.5.170', '104.22.7.112', '104.22.6.112']","['2606:4700:10::6816:670', '2606:4700:10::ac43:5aa', '2606:4700:10::6816:770']","['104.22.6.112', '104.22.7.112', '188.114.98.229', '188.114.99.229', '172.67.5.170']","['2606:4700:10::ac43:5aa', '2606:4700:10::6816:670', '2a06:98c1:3123:e000::5', '2a06:98c1:3122:e000::5', '2606:4700:10::6816:770']",False,False,False
2024-09-06T10:40:05.701305,11xplay.pro,"['104.21.23.25', '172.67.208.114']","['2606:4700:3035::6815:1719', '2606:4700:3036::ac43:d072']","['188.114.96.3', '188.114.97.3', '104.21.23.25', '172.67.208.114']","['2a06:98c1:3121::3', '2606:4700:3035::6815:1719', '2606:4700:3036::ac43:d072', '2a06:98c1:3120::3']",False,False,False
2024-09-06T10:40:05.701305,1024tera.com,['210.148.85.59'],[],['210.148.85.59'],[],False,False,False
2024-09-06T10:40:05.701305,11thadmission.org.in,"['104.21.60.45', '172.67.191.159']","['2606:4700:3033::ac43:bf9f', '2606:4700:3036::6815:3c2d']","['104.21.60.45', '172.67.191.159']","['2606:4700:3033::ac43:bf9f', '2606:4700:3036::6815:3c2d']",False,False,False
2024-09-06T10:40:05.701305,123-hd.com,"['104.31.16.121', '104.31.16.8']",[],"['104.31.16.121', '104.31.16.8']",[],False,False,False
2024-09-06T10:40:05.701305,104.com.tw,['104.18.9.226'],[],['104.18.9.226'],[],False,False,False
2024-09-06T10:40:05.701305,0gomovies.movie,"['172.67.134.226', '104.21.25.234']","['2606:4700:3032::ac43:86e2', '2606:4700:3033::6815:19ea']","['188.114.97.0', '188.114.96.0', '188.114.97.3', '188.114.96.3', '172.67.134.226', '104.21.25.234']","['2a06:98c1:3120::3', '2606:4700:3032::ac43:86e2', '2a06:98c1:3121::3', '2a06:98c1:3120::', '2a06:98c1:3121::', '2606:4700:3033::6815:19ea']",False,False,False
