timestamp,domain,dns_server,record_type,answers,error_code,error_reason
2024-11-14T08:11:21.225692,americanexpress.com,119.29.29.29,A,['184.85.124.91'],,
2024-11-14T08:11:21.225692,amemv.com,2620:fe::fe,AAAA,[],NoAnswer,No answer for domain: amemv.com on server: 2620:fe::fe
2024-11-14T08:11:21.225692,ameli.fr,208.67.220.222,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,amemv.com,2620:119:53::53,AAAA,[],NoAnswer,No answer for domain: amemv.com on server: 2620:119:53::53
2024-11-14T08:11:21.225692,amemv.com,2a0c:a9c7:9::1,AAAA,[],NoAnswer,No answer for domain: amemv.com on server: 2a0c:a9c7:9::1
2024-11-14T08:11:21.225692,americanbar.org,119.29.29.29,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,americanprogress.org,1.0.0.1,A,"['18.164.174.40', '18.164.174.88', '18.164.174.44', '18.164.174.48']",,
2024-11-14T08:11:21.225692,ameli.fr,2.56.220.2,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,americanexpress.com,114.114.114.114,A,['184.85.124.91'],,
2024-11-14T08:11:21.225692,ameli.fr,77.88.8.8,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,americanprogress.org,195.208.4.1,A,"['52.85.49.7', '52.85.49.78', '52.85.49.121', '52.85.49.46']",,
2024-11-14T08:11:21.225692,american.edu,2606:4700:4700::1001,AAAA,[],NoAnswer,No answer for domain: american.edu on server: 2606:4700:4700::1001
2024-11-14T08:11:21.225692,ameli.fr,208.67.222.222,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,american.edu,2001:4860:4860::8844,AAAA,[],NoAnswer,No answer for domain: american.edu on server: 2001:4860:4860::8844
2024-11-14T08:11:21.225692,american.edu,2606:4700:4700::1111,AAAA,[],NoAnswer,No answer for domain: american.edu on server: 2606:4700:4700::1111
2024-11-14T08:11:21.225692,americanbar.org,2.56.220.2,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,amemv.com,2620:0:ccc::2,AAAA,[],NoAnswer,No answer for domain: amemv.com on server: 2620:0:ccc::2
2024-11-14T08:11:21.225692,ameli.fr,94.140.14.14,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,ameli.fr,208.67.222.220,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,americanprogress.org,62.76.76.62,A,"['52.85.49.46', '52.85.49.7', '52.85.49.78', '52.85.49.121']",,
2024-11-14T08:11:21.225692,americanprogress.org,62.76.62.76,A,"['52.85.49.7', '52.85.49.78', '52.85.49.121', '52.85.49.46']",,
2024-11-14T08:11:21.225692,americanprogress.org,95.85.95.85,A,"['13.224.163.108', '13.224.163.76', '13.224.163.2', '13.224.163.129']",,
2024-11-14T08:11:21.225692,americanprogress.org,208.67.222.222,A,"['13.224.163.129', '13.224.163.2', '13.224.163.76', '13.224.163.108']",,
2024-11-14T08:11:21.225692,americanexpress.com,117.50.11.11,A,['23.204.20.147'],,
2024-11-14T08:11:21.225692,ameli.fr,195.208.5.1,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,ameli.fr,208.67.220.220,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,ameli.fr,9.9.9.10,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,amemv.com,2a0c:a9c7:8::1,AAAA,[],NoAnswer,No answer for domain: amemv.com on server: 2a0c:a9c7:8::1
2024-11-14T08:11:21.225692,american.edu,2a02:6b8:0:1::feed:0ff,AAAA,[],NoAnswer,No answer for domain: american.edu on server: 2a02:6b8:0:1::feed:0ff
2024-11-14T08:11:21.225692,americanprogress.org,77.88.8.8,A,"['108.157.214.70', '108.157.214.19', '108.157.214.85', '108.157.214.60']",,
2024-11-14T08:11:21.225692,americanprogress.org,77.88.8.1,A,"['108.157.214.70', '108.157.214.85', '108.157.214.19', '108.157.214.60']",,
2024-11-14T08:11:21.225692,amemv.com,2001:6d0:d6::2001,AAAA,[],NoAnswer,No answer for domain: amemv.com on server: 2001:6d0:d6::2001
2024-11-14T08:11:21.225692,americanbar.org,195.208.4.1,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,americanexpress.com,223.5.5.5,A,['23.196.157.201'],,
2024-11-14T08:11:21.225692,ameli.fr,62.76.76.62,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,americanexpress.com,223.6.6.6,A,['184.85.124.91'],,
2024-11-14T08:11:21.225692,american.edu,2a02:6b8::feed:0ff,AAAA,[],NoAnswer,No answer for domain: american.edu on server: 2a02:6b8::feed:0ff
2024-11-14T08:11:21.225692,ameli.fr,195.208.4.1,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,americanbar.org,77.88.8.8,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,americanbar.org,208.67.220.220,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,americanbar.org,62.76.76.62,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,ameli.fr,8.8.8.8,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,americanexpress.com,114.114.115.115,A,['184.85.124.91'],,
2024-11-14T08:11:21.225692,americanbar.org,195.208.5.1,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,american.edu,2a03:90c0:999d::1,AAAA,[],NoAnswer,No answer for domain: american.edu on server: 2a03:90c0:999d::1
2024-11-14T08:11:21.225692,american.edu,2a03:90c0:9992::1,AAAA,[],NoAnswer,No answer for domain: american.edu on server: 2a03:90c0:9992::1
2024-11-14T08:11:21.225692,americanprogress.org,1.1.1.1,A,"['18.172.31.76', '18.172.31.98', '18.172.31.44', '18.172.31.108']",,
2024-11-14T08:11:21.225692,ameli.fr,77.88.8.1,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,american.edu,2001:4860:4860::8888,AAAA,[],NoAnswer,No answer for domain: american.edu on server: 2001:4860:4860::8888
2024-11-14T08:11:21.225692,ameli.fr,62.76.62.76,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,americanbar.org,9.9.9.10,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,amedia.site,101.226.4.6,A,['186.2.163.39'],,
2024-11-14T08:11:21.225692,americanbar.org,208.67.222.222,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,americanprogress.org,8.8.4.4,A,"['13.224.163.108', '13.224.163.76', '13.224.163.2', '13.224.163.129']",,
2024-11-14T08:11:21.225692,americanprogress.org,9.9.9.10,A,"['52.222.214.60', '52.222.214.56', '52.222.214.21', '52.222.214.53']",,
2024-11-14T08:11:21.225692,americanexpress.com,210.21.196.6,A,[],Timeout,Timeout occurred for domain: americanexpress.com on server: 210.21.196.6
2024-11-14T08:11:21.225692,americanbar.org,223.6.6.6,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,americanprogress.org,195.208.5.1,A,"['52.85.49.7', '52.85.49.46', '52.85.49.121', '52.85.49.78']",,
2024-11-14T08:11:21.225692,ameli.fr,1.1.1.1,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,americanprogress.org,9.9.9.9,A,[],Timeout,Timeout occurred for domain: americanprogress.org on server: 9.9.9.9
2024-11-14T08:11:21.225692,ameli.fr,9.9.9.9,A,[],Timeout,Timeout occurred for domain: ameli.fr on server: 9.9.9.9
2024-11-14T08:11:21.225692,amemv.com,2400:3200:baba::1,AAAA,[],NoAnswer,No answer for domain: amemv.com on server: 2400:3200:baba::1
2024-11-14T08:11:21.225692,americanbar.org,62.76.62.76,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,americanbar.org,223.5.5.5,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,americanprogress.org,8.8.8.8,A,"['13.224.163.129', '13.224.163.2', '13.224.163.108', '13.224.163.76']",,
2024-11-14T08:11:21.225692,amemv.com,2402:4e00::,AAAA,[],NoAnswer,No answer for domain: amemv.com on server: 2402:4e00::
2024-11-14T08:11:21.225692,ameli.fr,8.8.4.4,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,ameli.fr,95.85.95.85,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,americanbar.org,208.67.222.220,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,americanexpress.com,101.226.4.6,A,['104.102.62.18'],,
2024-11-14T08:11:21.225692,amemv.com,2620:fe::10,AAAA,[],NoAnswer,No answer for domain: amemv.com on server: 2620:fe::10
2024-11-14T08:11:21.225692,ameli.fr,1.0.0.1,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,amedia.site,101.226.4.7,A,[],Timeout,Timeout occurred for domain: amedia.site on server: 101.226.4.7
2024-11-14T08:11:21.225692,americanbar.org,208.67.220.222,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,amemv.com,2620:119:35::35,AAAA,[],NoAnswer,No answer for domain: amemv.com on server: 2620:119:35::35
2024-11-14T08:11:21.225692,americanexpress.com,202.96.128.86,A,[],Timeout,Timeout occurred for domain: americanexpress.com on server: 202.96.128.86
2024-11-14T08:11:21.225692,amedia.site,117.50.11.11,A,['186.2.163.39'],,
2024-11-14T08:11:21.225692,americanbar.org,94.140.14.14,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,amedia.site,123.125.81.6,A,['186.2.163.39'],,
2024-11-14T08:11:21.225692,amemv.com,2a10:50c0::ad1:ff,AAAA,[],NoAnswer,No answer for domain: amemv.com on server: 2a10:50c0::ad1:ff
2024-11-14T08:11:21.225692,americanexpress.com,211.136.17.107,A,['173.223.87.113'],,
2024-11-14T08:11:21.225692,americanexpress.com,218.30.118.6,A,['104.102.62.18'],,
2024-11-14T08:11:21.225692,americanbar.org,9.9.9.9,A,[],Timeout,Timeout occurred for domain: americanbar.org on server: 9.9.9.9
2024-11-14T08:11:21.225692,ameli.fr,114.114.115.115,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,amemv.com,2400:3200::1,AAAA,[],NoAnswer,No answer for domain: amemv.com on server: 2400:3200::1
2024-11-14T08:11:21.225692,ameli.fr,114.114.114.114,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,americanbar.org,94.140.15.15,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,americanexpress.com,180.76.76.76,A,['173.223.87.113'],,
2024-11-14T08:11:21.225692,americanbar.org,77.88.8.1,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,amemv.com,2620:0:ccd::2,AAAA,[],NoAnswer,No answer for domain: amemv.com on server: 2620:0:ccd::2
2024-11-14T08:11:21.225692,ameli.fr,94.140.15.15,A,['89.31.147.88'],,
2024-11-14T08:11:21.225692,americanprogress.org,2.56.220.2,A,"['13.224.163.129', '13.224.163.2', '13.224.163.76', '13.224.163.108']",,
2024-11-14T08:11:21.225692,amemv.com,2a10:50c0::ad2:ff,AAAA,[],NoAnswer,No answer for domain: amemv.com on server: 2a10:50c0::ad2:ff
2024-11-14T08:11:21.225692,americanbar.org,114.114.115.115,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,americanbar.org,114.114.114.114,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,americanexpress.com,123.125.81.6,A,['23.196.157.201'],,
2024-11-14T08:11:21.225692,americanexpress.com,77.88.8.1,A,['184.84.234.145'],,
2024-11-14T08:11:21.225692,ametek.com,2a03:90c0:999d::1,AAAA,[],NoAnswer,No answer for domain: ametek.com on server: 2a03:90c0:999d::1
2024-11-14T08:11:21.225692,amocrm.com,2a0c:a9c7:8::1,AAAA,[],NoAnswer,No answer for domain: amocrm.com on server: 2a0c:a9c7:8::1
2024-11-14T08:11:21.225692,amemv.com,208.67.220.222,A,"['122.14.229.128', '122.14.229.129', '122.14.229.127']",,
2024-11-14T08:11:21.225692,amp-endpoint3.com,2a0c:a9c7:8::1,AAAA,[],NoAnswer,No answer for domain: amp-endpoint3.com on server: 2a0c:a9c7:8::1
2024-11-14T08:11:21.225692,americanbar.org,123.125.81.6,A,['192.34.22.149'],,
2024-11-14T08:11:21.225692,ametek.com,208.67.220.222,A,"['13.248.160.137', '76.223.34.124']",,
2024-11-14T08:11:21.226690,amemv.com,2400:da00::6666,AAAA,[],Timeout,Timeout occurred for domain: amemv.com on server: 2400:da00::6666
2024-11-14T08:11:21.226690,amedia.site,123.125.81.7,A,[],Timeout,Timeout occurred for domain: amedia.site on server: 123.125.81.7
