timestamp,domain,dns_server,record_type,answers,error_code,error_reason
2024-11-14T18:56:34.457562,amazon.ae,223.6.6.6,A,"['52.95.113.159', '52.95.118.2', '52.95.120.33']",,
2024-11-14T18:56:34.457562,amazon.ae,2400:3200::1,AAAA,[],NoAnswer,No answer for domain: amazon.ae on server: 2400:3200::1
2024-11-14T18:56:34.457562,amagi.tv,208.67.220.220,A,"['16.182.68.181', '52.216.38.197', '52.216.59.21', '52.217.82.163', '52.217.120.61', '52.217.223.37', '3.5.14.135', '16.182.42.173']",,
2024-11-14T18:56:34.457562,altervista.org,195.208.5.1,A,"['52.49.51.252', '63.35.4.242', '52.17.253.37']",,
2024-11-14T18:56:34.457562,altema.jp,117.50.11.11,A,"['184.51.102.241', '184.51.102.178']",,
2024-11-14T18:56:34.457562,ama-assn.org,101.226.4.6,A,['54.243.187.225'],,
2024-11-14T18:56:34.457562,amazon.ae,180.76.76.76,A,"['52.95.113.159', '52.95.118.2', '52.95.120.33']",,
2024-11-14T18:56:34.457562,amarujala.com,223.6.6.6,A,"['18.172.170.86', '18.172.170.29', '18.172.170.60', '18.172.170.30']",,
2024-11-14T18:56:34.457562,ama-assn.org,94.140.15.15,A,['54.243.187.225'],,
2024-11-14T18:56:34.457562,amazon.ca,2a02:6b8:0:1::feed:0ff,AAAA,[],NoAnswer,No answer for domain: amazon.ca on server: 2a02:6b8:0:1::feed:0ff
2024-11-14T18:56:34.457562,amagi.tv,208.67.222.222,A,"['52.217.89.83', '52.217.143.37', '52.217.193.93', '16.182.68.141', '16.182.74.237', '52.216.44.221', '52.216.59.141', '52.216.207.170']",,
2024-11-14T18:56:34.457562,amarujala.com,62.76.76.62,A,"['18.165.140.66', '18.165.140.81', '18.165.140.111', '18.165.140.50']",,
2024-11-14T18:56:34.457562,amazon.ae,1.1.1.1,A,"['52.95.120.33', '52.95.113.159', '52.95.118.2']",,
2024-11-14T18:56:34.457562,amazon.ae,2a10:50c0::ad1:ff,AAAA,[],NoAnswer,No answer for domain: amazon.ae on server: 2a10:50c0::ad1:ff
2024-11-14T18:56:34.457562,ama-assn.org,223.5.5.5,A,['54.243.187.225'],,
2024-11-14T18:56:34.457562,amazon.ae,1.0.0.1,A,"['52.95.113.159', '52.95.118.2', '52.95.120.33']",,
2024-11-14T18:56:34.457562,amarujala.com,119.29.29.29,A,"['3.165.82.85', '3.165.82.105', '3.165.82.89', '3.165.82.94']",,
2024-11-14T18:56:34.457562,amazon.ae,8.8.8.8,A,"['52.95.118.2', '52.95.120.33', '52.95.113.159']",,
2024-11-14T18:56:34.457562,amarujala.com,114.114.114.114,A,"['13.227.62.108', '13.227.62.41', '13.227.62.61']",,
2024-11-14T18:56:34.457562,altervista.org,208.67.222.220,A,"['63.35.4.242', '52.17.253.37', '52.49.51.252']",,
2024-11-14T18:56:34.457562,amazon.ae,2a10:50c0::ad2:ff,AAAA,[],NoAnswer,No answer for domain: amazon.ae on server: 2a10:50c0::ad2:ff
2024-11-14T18:56:34.457562,amarujala.com,223.5.5.5,A,"['18.172.170.60', '18.172.170.29', '18.172.170.30', '18.172.170.86']",,
2024-11-14T18:56:34.457562,amazon.ae,8.8.4.4,A,"['52.95.118.2', '52.95.120.33', '52.95.113.159']",,
2024-11-14T18:56:34.457562,altervista.org,195.208.4.1,A,"['52.17.253.37', '52.49.51.252', '63.35.4.242']",,
2024-11-14T18:56:34.457562,amazon.ae,2620:0:ccc::2,AAAA,[],NoAnswer,No answer for domain: amazon.ae on server: 2620:0:ccc::2
