timestamp,domain,dns_server,record_type,answers,error_code,error_reason
2024-11-14T14:14:27.133581,1024tera.com,2400:3200::1,AAAA,[],NoAnswer,No answer for domain: 1024tera.com on server: 2400:3200::1
2024-11-14T14:14:27.133581,10086.cn,8.8.4.4,A,"['111.7.202.175', '111.7.203.227']",,
2024-11-14T14:14:27.133581,11thadmission.org.in,208.67.222.220,A,"['172.67.191.159', '104.21.60.45']",,
2024-11-14T14:14:27.133581,11thadmission.org.in,208.67.220.222,A,"['104.21.60.45', '172.67.191.159']",,
2024-11-14T14:14:27.133581,1024tera.com,2a10:50c0::ad2:ff,AAAA,[],NoAnswer,No answer for domain: 1024tera.com on server: 2a10:50c0::ad2:ff
2024-11-14T14:14:27.133581,10086.cn,1.1.1.1,A,"['111.7.203.227', '111.7.202.175']",,
2024-11-14T14:14:27.133581,1024tera.com,2400:3200:baba::1,AAAA,[],NoAnswer,No answer for domain: 1024tera.com on server: 2400:3200:baba::1
2024-11-14T14:14:27.133581,10086.cn,1.0.0.1,A,"['111.7.202.175', '111.7.203.227']",,
2024-11-14T14:14:27.133581,11thadmission.org.in,94.140.14.14,A,"['172.67.191.159', '104.21.60.45']",,
2024-11-14T14:14:27.133581,11thadmission.org.in,94.140.15.15,A,"['172.67.191.159', '104.21.60.45']",,
2024-11-14T14:14:27.133581,123rf.com,101.226.4.6,A,"['13.35.238.38', '13.35.238.20', '13.35.238.96', '13.35.238.25']",,
2024-11-14T14:14:27.133581,123rf.com,123.125.81.6,A,"['13.35.238.25', '13.35.238.38', '13.35.238.20', '13.35.238.96']",,
2024-11-14T14:14:27.133581,126.net,8.8.8.8,A,['59.111.160.244'],,
2024-11-14T14:14:27.133581,1024tera.com,2402:4e00::,AAAA,[],NoAnswer,No answer for domain: 1024tera.com on server: 2402:4e00::
2024-11-14T14:14:27.133581,11thadmission.org.in,114.114.114.114,A,"['172.67.191.159', '104.21.60.45']",,
2024-11-14T14:14:27.133581,11thadmission.org.in,114.114.115.115,A,"['172.67.191.159', '104.21.60.45']",,
2024-11-14T14:14:27.133581,126.net,8.8.4.4,A,['59.111.160.244'],,
2024-11-14T14:14:27.133581,10086.cn,77.88.8.8,A,"['111.7.202.175', '111.7.203.227']",,
2024-11-14T14:14:27.133581,11thadmission.org.in,223.5.5.5,A,"['172.67.191.159', '104.21.60.45']",,
2024-11-14T14:14:27.133581,126.net,1.1.1.1,A,['59.111.160.244'],,
2024-11-14T14:14:27.133581,104.com.tw,2001:4860:4860::8888,AAAA,[],NoAnswer,No answer for domain: 104.com.tw on server: 2001:4860:4860::8888
2024-11-14T14:14:27.133581,104.com.tw,2001:4860:4860::8844,AAAA,[],NoAnswer,No answer for domain: 104.com.tw on server: 2001:4860:4860::8844
2024-11-14T14:14:27.133581,11thadmission.org.in,223.6.6.6,A,"['172.67.191.159', '104.21.60.45']",,
2024-11-14T14:14:27.133581,10086.cn,77.88.8.1,A,"['111.7.203.227', '111.7.202.175']",,
2024-11-14T14:14:27.133581,126.net,1.0.0.1,A,['59.111.160.244'],,
2024-11-14T14:14:27.133581,10086.cn,62.76.76.62,A,"['111.7.202.175', '111.7.203.227']",,
2024-11-14T14:14:27.133581,104.com.tw,2606:4700:4700::1111,AAAA,[],NoAnswer,No answer for domain: 104.com.tw on server: 2606:4700:4700::1111
2024-11-14T14:14:27.133581,10086.cn,62.76.62.76,A,"['111.7.202.175', '111.7.203.227']",,
2024-11-14T14:14:27.133581,11thadmission.org.in,119.29.29.29,A,"['104.21.60.45', '172.67.191.159']",,
2024-11-14T14:14:27.133581,104.com.tw,2606:4700:4700::1001,AAAA,[],NoAnswer,No answer for domain: 104.com.tw on server: 2606:4700:4700::1001
2024-11-14T14:14:27.133581,10086.cn,2.56.220.2,A,"['111.7.203.227', '111.7.202.175']",,
2024-11-14T14:14:27.133581,10086.cn,95.85.95.85,A,"['111.7.203.227', '111.7.202.175']",,
2024-11-14T14:14:27.133581,126.net,95.85.95.85,A,['59.111.160.244'],,
2024-11-14T14:14:27.133581,11thadmission.org.in,180.76.76.76,A,"['104.21.60.45', '172.67.191.159']",,
2024-11-14T14:14:27.133581,10086.cn,195.208.4.1,A,"['111.7.203.227', '111.7.202.175']",,
2024-11-14T14:14:27.133581,10086.cn,195.208.5.1,A,"['111.7.202.175', '111.7.203.227']",,
2024-11-14T14:14:27.133581,126.net,2.56.220.2,A,['59.111.160.244'],,
2024-11-14T14:14:27.133581,104.com.tw,2a03:90c0:999d::1,AAAA,[],NoAnswer,No answer for domain: 104.com.tw on server: 2a03:90c0:999d::1
2024-11-14T14:14:27.133581,104.com.tw,2a03:90c0:9992::1,AAAA,[],NoAnswer,No answer for domain: 104.com.tw on server: 2a03:90c0:9992::1
2024-11-14T14:14:27.133581,126.net,77.88.8.8,A,['59.111.160.244'],,
2024-11-14T14:14:27.133581,126.net,77.88.8.1,A,['59.111.160.244'],,
2024-11-14T14:14:27.133581,10086.cn,9.9.9.10,A,"['111.7.202.175', '111.7.203.227']",,
2024-11-14T14:14:27.133581,104.com.tw,2a02:6b8::feed:0ff,AAAA,[],NoAnswer,No answer for domain: 104.com.tw on server: 2a02:6b8::feed:0ff
2024-11-14T14:14:27.133581,11thadmission.org.in,218.30.118.6,A,"['172.67.191.159', '104.21.60.45']",,
2024-11-14T14:14:27.133581,126.net,62.76.76.62,A,['59.111.160.244'],,
2024-11-14T14:14:27.133581,10086.cn,208.67.222.222,A,"['111.7.202.175', '111.7.203.227']",,
2024-11-14T14:14:27.133581,11thadmission.org.in,211.136.17.107,A,"['172.67.191.159', '104.21.60.45']",,
2024-11-14T14:14:27.133581,104.com.tw,2a02:6b8:0:1::feed:0ff,AAAA,[],NoAnswer,No answer for domain: 104.com.tw on server: 2a02:6b8:0:1::feed:0ff
2024-11-14T14:14:27.133581,126.net,62.76.62.76,A,['59.111.160.244'],,
2024-11-14T14:14:27.133581,104.com.tw,2001:6d0:6d0::2001,AAAA,[],NoAnswer,No answer for domain: 104.com.tw on server: 2001:6d0:6d0::2001
2024-11-14T14:14:27.133581,10086.cn,208.67.220.220,A,"['111.7.202.175', '111.7.203.227']",,
2024-11-14T14:14:27.133581,000webhostapp.com,8.8.8.8,A,[],NoNameservers,No nameservers for domain: 000webhostapp.com on server: 8.8.8.8
2024-11-14T14:14:27.133581,126.net,195.208.4.1,A,['59.111.160.244'],,
2024-11-14T14:14:27.134583,104.com.tw,2001:6d0:d6::2001,AAAA,[],NoAnswer,No answer for domain: 104.com.tw on server: 2001:6d0:d6::2001
2024-11-14T14:14:27.134583,000webhostapp.com,8.8.4.4,A,[],NoNameservers,No nameservers for domain: 000webhostapp.com on server: 8.8.4.4
2024-11-14T14:14:27.134583,10086.cn,208.67.222.220,A,"['111.7.202.175', '111.7.203.227']",,
2024-11-14T14:14:27.134583,11thadmission.org.in,123.125.81.6,A,"['104.21.60.45', '172.67.191.159']",,
2024-11-14T14:14:27.134583,126.net,195.208.5.1,A,['59.111.160.244'],,
2024-11-14T14:14:27.134583,123rf.com,123.125.81.7,A,[],Timeout,Timeout occurred for domain: 123rf.com on server: 123.125.81.7
2024-11-14T14:14:27.134583,123rf.com,101.226.4.7,A,[],Timeout,Timeout occurred for domain: 123rf.com on server: 101.226.4.7
2024-11-14T14:14:27.134583,10086.cn,208.67.220.222,A,"['111.7.203.227', '111.7.202.175']",,
2024-11-14T14:14:27.134583,1024tera.com,2400:da00::6666,AAAA,[],Timeout,Timeout occurred for domain: 1024tera.com on server: 2400:da00::6666
2024-11-14T14:14:27.134583,11thadmission.org.in,101.226.4.6,A,"['104.21.60.45', '172.67.191.159']",,
2024-11-14T14:14:27.134583,104.com.tw,2a0c:a9c7:9::1,AAAA,[],NoAnswer,No answer for domain: 104.com.tw on server: 2a0c:a9c7:9::1
2024-11-14T14:14:27.134583,11thadmission.org.in,117.50.11.11,A,"['104.21.60.45', '172.67.191.159']",,
2024-11-14T14:14:27.134583,000webhostapp.com,1.0.0.1,A,[],NoNameservers,No nameservers for domain: 000webhostapp.com on server: 1.0.0.1
2024-11-14T14:14:27.134583,10086.cn,94.140.14.14,A,"['111.7.203.227', '111.7.202.175']",,
2024-11-14T14:14:27.134583,126.net,9.9.9.10,A,['59.111.160.244'],,
2024-11-14T14:14:27.134583,104.com.tw,2620:fe::fe,AAAA,[],NoAnswer,No answer for domain: 104.com.tw on server: 2620:fe::fe
2024-11-14T14:14:27.134583,11thadmission.org.in,202.96.128.86,A,[],Timeout,Timeout occurred for domain: 11thadmission.org.in on server: 202.96.128.86
2024-11-14T14:14:27.134583,10086.cn,94.140.15.15,A,"['111.7.203.227', '111.7.202.175']",,
2024-11-14T14:14:27.134583,10086.cn,9.9.9.9,A,[],Timeout,Timeout occurred for domain: 10086.cn on server: 9.9.9.9
2024-11-14T14:14:27.134583,11thadmission.org.in,210.21.196.6,A,[],Timeout,Timeout occurred for domain: 11thadmission.org.in on server: 210.21.196.6
2024-11-14T14:14:27.134583,126.net,208.67.222.222,A,['59.111.160.244'],,
2024-11-14T14:14:27.134583,104.com.tw,2620:fe::10,AAAA,[],NoAnswer,No answer for domain: 104.com.tw on server: 2620:fe::10
2024-11-14T14:14:27.134583,10086.cn,114.114.114.114,A,"['111.7.202.175', '111.7.203.227']",,
2024-11-14T14:14:27.134583,11xplay.pro,8.8.8.8,A,"['104.21.23.25', '172.67.208.114']",,
2024-11-14T14:14:27.134583,126.net,208.67.220.220,A,['59.111.160.244'],,
2024-11-14T14:14:27.134583,104.com.tw,2620:119:35::35,AAAA,[],NoAnswer,No answer for domain: 104.com.tw on server: 2620:119:35::35
2024-11-14T14:14:27.134583,000webhostapp.com,77.88.8.8,A,[],NoNameservers,No nameservers for domain: 000webhostapp.com on server: 77.88.8.8
2024-11-14T14:14:27.134583,10086.cn,114.114.115.115,A,"['111.7.203.227', '111.7.202.175']",,
2024-11-14T14:14:27.134583,11xplay.pro,8.8.4.4,A,"['104.21.23.25', '172.67.208.114']",,
2024-11-14T14:14:27.134583,126.net,208.67.222.220,A,['59.111.160.244'],,
2024-11-14T14:14:27.134583,104.com.tw,2620:119:53::53,AAAA,[],NoAnswer,No answer for domain: 104.com.tw on server: 2620:119:53::53
2024-11-14T14:14:27.134583,000webhostapp.com,95.85.95.85,A,[],NoNameservers,No nameservers for domain: 000webhostapp.com on server: 95.85.95.85
2024-11-14T14:14:27.134583,10086.cn,223.5.5.5,A,"['111.7.203.227', '111.7.202.175']",,
2024-11-14T14:14:27.134583,11xplay.pro,1.1.1.1,A,"['104.21.23.25', '172.67.208.114']",,
2024-11-14T14:14:27.134583,126.net,208.67.220.222,A,['59.111.160.244'],,
