timestamp,domain,dns_server,record_type,answers,error_code,error_reason
2024-11-14T10:15:59.768184,athlonsports.com,2001:4860:4860::8888,AAAA,[],NoAnswer,No answer for domain: athlonsports.com on server: 2001:4860:4860::8888
2024-11-14T10:15:59.768184,atlasobscura.com,119.29.29.29,A,"['104.26.1.248', '172.67.74.153', '104.26.0.248']",,
2024-11-14T10:15:59.768184,athlonsports.com,2.56.220.2,A,"['151.101.130.98', '151.101.2.98', '151.101.194.98', '151.101.66.98']",,
2024-11-14T10:15:59.768184,athenahealth.com,2a03:90c0:9992::1,AAAA,[],NoAnswer,No answer for domain: athenahealth.com on server: 2a03:90c0:9992::1
2024-11-14T10:15:59.768184,ati.su,2001:4860:4860::8844,AAAA,[],NoAnswer,No answer for domain: ati.su on server: 2001:4860:4860::8844
2024-11-14T10:15:59.768184,athlonsports.com,2400:3200::1,AAAA,[],NoAnswer,No answer for domain: athlonsports.com on server: 2400:3200::1
2024-11-14T10:15:59.768184,atlassian.net,195.208.4.1,A,"['185.166.143.36', '185.166.143.37', '185.166.143.38']",,
2024-11-14T10:15:59.768184,atol.ru,2a02:6b8::feed:0ff,AAAA,[],NoAnswer,No answer for domain: atol.ru on server: 2a02:6b8::feed:0ff
2024-11-14T10:15:59.768184,athlonsports.com,2001:6d0:6d0::2001,AAAA,[],NoAnswer,No answer for domain: athlonsports.com on server: 2001:6d0:6d0::2001
2024-11-14T10:15:59.768184,atlassian.com,119.29.29.29,A,"['3.165.102.120', '3.165.102.102', '3.165.102.45', '3.165.102.77']",,
2024-11-14T10:15:59.768184,athenahealth.com,2a02:6b8::feed:0ff,AAAA,[],NoAnswer,No answer for domain: athenahealth.com on server: 2a02:6b8::feed:0ff
2024-11-14T10:15:59.768184,athlonsports.com,77.88.8.8,A,"['151.101.2.98', '151.101.194.98', '151.101.130.98', '151.101.66.98']",,
2024-11-14T10:15:59.768184,ati.su,2a02:6b8:0:1::feed:0ff,AAAA,[],NoAnswer,No answer for domain: ati.su on server: 2a02:6b8:0:1::feed:0ff
2024-11-14T10:15:59.768184,athlonsports.com,2606:4700:4700::1001,AAAA,[],NoAnswer,No answer for domain: athlonsports.com on server: 2606:4700:4700::1001
2024-11-14T10:15:59.768184,athome.co.jp,2001:4860:4860::8844,AAAA,[],NoAnswer,No answer for domain: athome.co.jp on server: 2001:4860:4860::8844
2024-11-14T10:15:59.768184,ati.su,2a02:6b8::feed:0ff,AAAA,[],NoAnswer,No answer for domain: ati.su on server: 2a02:6b8::feed:0ff
2024-11-14T10:15:59.768184,athlonsports.com,208.67.220.222,A,"['151.101.194.98', '151.101.2.98', '151.101.66.98', '151.101.130.98']",,
2024-11-14T10:15:59.768184,ati.su,2606:4700:4700::1111,AAAA,[],NoAnswer,No answer for domain: ati.su on server: 2606:4700:4700::1111
2024-11-14T10:15:59.768184,athenahealth.com,2400:3200::1,AAAA,[],NoAnswer,No answer for domain: athenahealth.com on server: 2400:3200::1
2024-11-14T10:15:59.768184,athlonsports.com,94.140.14.14,A,"['151.101.2.98', '151.101.66.98', '151.101.130.98', '151.101.194.98']",,
2024-11-14T10:15:59.768184,atlassian.com,114.114.114.114,A,"['3.165.102.45', '3.165.102.120', '3.165.102.102']",,
2024-11-14T10:15:59.768184,atlasobscura.com,2.56.220.2,A,"['104.26.0.248', '104.26.1.248', '172.67.74.153']",,
